Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,7_Day_Moving_Avg,HighVolatility,Above_Moving_Avg,Symbol
2026-01-30 00:00:00-05:00,254.4773517832236,261.1890792690021,251.4954625126288,258.7756652832031,92443400,0.0,0.0,1.69,254.2,0,1,AAPL
2026-02-02 00:00:00-05:00,259.3241487899344,269.7557466562268,258.50636737104884,269.2770690917969,73913400,0.0,0.0,3.84,257.29,1,1,AAPL
2026-02-03 00:00:00-05:00,268.4692659190308,271.1419837262723,266.88355520832346,268.7485046386719,64394700,0.0,0.0,0.1,260.34,0,1,AAPL
2026-02-04 00:00:00-05:00,271.5508302866565,278.19275421850585,271.5508302866565,275.7394104003906,90545700,0.0,0.0,1.54,263.35,0,1,AAPL
2026-02-05 00:00:00-05:00,277.3749854862336,278.7412615768201,272.48829324857786,275.1610107421875,52977400,0.0,0.0,-0.8,265.86,0,1,AAPL
2026-02-06 00:00:00-05:00,276.3677353153735,280.14745564173626,276.1782486476445,277.3650207519531,50453400,0.0,0.0,0.36,268.95,0,1,AAPL
2026-02-09 00:00:00-05:00,277.41494619870406,277.70443813431814,271.2160169672847,274.1307983398437,44623400,0.26,0.0,-1.18,271.31,0,1,AAPL
2026-02-10 00:00:00-05:00,274.4003102195724,274.87943562430115,272.4537718732244,273.19244384765625,34376900,0.0,0.0,-0.44,273.37,0,0,AAPL
2026-02-11 00:00:00-05:00,274.2106536370846,279.6808719096702,273.9610989943363,275.0092163085937,51931300,0.0,0.0,0.29,274.19,0,1,AAPL
2026-02-12 00:00:00-05:00,275.0990906441112,275.22886395053104,259.7165366668213,261.2637939453125,81077200,0.0,0.0,-5.03,273.12,0,0,AAPL
2026-02-13 00:00:00-05:00,261.5432690161623,261.7628783299504,254.9949421084194,255.3243560791016,56290700,0.0,0.0,-2.38,270.21,0,0,AAPL
2026-02-17 00:00:00-05:00,257.5903108294174,265.8156532326085,255.08478749757865,263.4099426269531,58469100,0.0,0.0,2.26,268.53,1,0,AAPL
2026-02-18 00:00:00-05:00,263.1304558468116,266.3447212846438,261.9825104325609,263.8791198730469,34203300,0.0,0.0,0.28,266.6,0,0,AAPL
2026-02-19 00:00:00-05:00,262.1322047157328,264.00886051677537,259.5867290635135,260.11578369140625,30845300,0.0,0.0,-0.77,264.6,0,0,AAPL
2026-02-20 00:00:00-05:00,258.50868117461044,264.2783836675007,257.7001265171608,264.1086730957031,42070500,0.0,0.0,2.17,263.3,1,1,AAPL
2026-02-23 00:00:00-05:00,263.0206001676805,268.95002088588865,262.91081074777924,265.705810546875,37308200,0.0,0.0,1.02,261.97,0,1,AAPL
2026-02-24 00:00:00-05:00,267.38283777638213,274.4003442568012,267.233111068832,271.6552429199219,47014600,0.0,0.0,1.6,263.46,0,1,AAPL
2026-02-25 00:00:00-05:00,271.29586819299504,274.45024283739696,270.567157599074,273.74151611328125,33714300,0.0,0.0,0.9,266.09,0,1,AAPL
